T8o	J6s	K6o	A2o	T6s	98o	76s	86s	96s	Q3s	J5s	K5o	Q7o	Q2s	J4s	33	65s	J7o	T7o	K4o	75s	T5s	Q6o	J3s	95s	87o
0,490627	0,480344	0,452411	0,304204	0,490478	0,503334	0,505420	0,502315	0,501825	0,341565	0,479298	0,447873	0,455725	0,339782	0,362029	0,189894	0,496625	0,466766	0,477817	0,317928	0,493184	0,478361	0,454994	0,344011	0,489670	0,490535
0,285118	0,389550	0,591241	0,582886	0,401008	0,300138	0,407543	0,332168	0,411845	0,365289	0,395354	0,587919	0,327414	0,364457	0,393798	0,520909	0,409625	0,360848	0,373157	0,583932	0,397327	0,392583	0,330650	0,389412	0,403419	0,288167
0,442763	0,441063	0,403466	0,469504	0,452903	0,450558	0,479741	0,476140	0,460242	0,285927	0,431443	0,390145	0,403907	0,387800	0,427777	0,664061	0,466077	0,416791	0,429612	0,386154	0,457739	0,431314	0,406981	0,289476	0,438653	0,454494
0,421940	0,417483	0,565068	0,719174	0,428914	0,429210	0,461632	0,446549	0,439070	0,407366	0,417358	0,532315	0,389389	0,279361	0,413887	0,656045	0,453239	0,401501	0,413554	0,506140	0,449570	0,417236	0,389250	0,410357	0,427392	0,431874
0,275360	0,364810	0,574393	0,570002	0,390674	0,290695	0,397131	0,320503	0,401409	0,590129	0,367937	0,575035	0,581145	0,590125	0,366400	0,510121	0,405199	0,328595	0,363004	0,571048	0,391597	0,382291	0,575014	0,361668	0,393026	0,294637
0,417987	0,408643	0,601123	0,571531	0,420074	0,432491	0,444837	0,439798	0,434167	0,471266	0,408517	0,604006	0,594243	0,468614	0,287124	0,516612	0,442350	0,392137	0,404190	0,707716	0,433158	0,408396	0,562391	0,371221	0,422489	0,421561
0,500000	0,586710	0,566699	0,557181	0,365633	0,283501	0,391034	0,328382	0,392636	0,578075	0,581278	0,558249	0,570698	0,578071	0,581268	0,499322	0,395693	0,578755	0,329810	0,558227	0,382067	0,364990	0,567320	0,577330	0,383756	0,291047
0,413290	0,500000	0,704483	0,554679	0,305509	0,422321	0,341028	0,331265	0,318540	0,587905	0,420742	0,566265	0,601588	0,584452	0,418541	0,510313	0,337496	0,602444	0,399500	0,562462	0,405113	0,374584	0,703142	0,417340	0,384885	0,417210
0,433301	0,295517	0,500000	0,592090	0,310253	0,438299	0,349405	0,334860	0,324182	0,397779	0,403960	0,406891	0,395809	0,396097	0,402925	0,537097	0,342146	0,412657	0,420350	0,404370	0,429687	0,401182	0,251704	0,401827	0,411023	0,434858
0,442819	0,445321	0,407910	0,500000	0,457161	0,450614	0,491069	0,476214	0,464501	0,424803	0,435290	0,394160	0,408357	0,284439	0,431624	0,688423	0,474750	0,421241	0,434062	0,390169	0,466412	0,435160	0,411425	0,427958	0,442500	0,454551
0,634367	0,694491	0,689747	0,542839	0,500000	0,415907	0,338762	0,326038	0,313067	0,576474	0,581067	0,550653	0,590129	0,573022	0,581064	0,500456	0,329483	0,600464	0,601733	0,550622	0,396365	0,413055	0,688406	0,577611	0,376173	0,411138
0,716499	0,577679	0,561701	0,549386	0,584093	0,500000	0,383355	0,327897	0,366432	0,567499	0,574772	0,555575	0,561548	0,567495	0,566343	0,492594	0,392081	0,569286	0,576226	0,546033	0,376265	0,570969	0,558739	0,566333	0,365903	0,287750
0,608966	0,658972	0,650595	0,508931	0,661238	0,616645	0,500000	0,659050	0,662203	0,549331	0,561844	0,530186	0,653678	0,541030	0,556396	0,482506	0,355529	0,665196	0,656941	0,524205	0,416320	0,554772	0,649495	0,550564	0,557703	0,654834
0,671618	0,668735	0,665140	0,523786	0,673962	0,672103	0,340950	0,500000	0,675172	0,552284	0,567267	0,539657	0,569058	0,552281	0,561435	0,482725	0,348004	0,579431	0,587911	0,533263	0,389364	0,562916	0,660108	0,553517	0,566136	0,600259
