A8s	K9s	QJo	A7s	KTo	Q9s	A5s	66	A6s	QTo	J9s	A9o	T9s	A4s	K8s	JTo	K7s	A8o	A3s	Q8s	K9o	A2s	K6s	J8s	T8s	A7o
0,494330	0,500871	0,495694	0,489924	0,488341	0,510831	0,490130	0,814499	0,483658	0,499203	0,520799	0,464268	0,530776	0,486912	0,493976	0,510075	0,492784	0,468787	0,373954	0,503897	0,475795	0,346496	0,488802	0,513825	0,523762	0,464108
0,613417	0,615408	0,597090	0,614544	0,596696	0,618744	0,669826	0,814130	0,676887	0,600360	0,625643	0,586058	0,635334	0,567491	0,612356	0,617342	0,614302	0,587924	0,561659	0,615654	0,589779	0,553742	0,671939	0,619882	0,628817	0,589422
0,647108	0,654256	0,756728	0,747721	0,649347	0,664894	0,612645	0,545343	0,606842	0,660800	0,711749	0,626167	0,467500	0,609100	0,645612	0,720346	0,745587	0,629158	0,605555	0,656250	0,636805	0,601617	0,608956	0,686022	0,454012	0,735923
0,635222	0,642311	0,676366	0,732840	0,728494	0,652949	0,597057	0,540906	0,599279	0,742860	0,662425	0,613858	0,710107	0,597047	0,633727	0,738121	0,730706	0,616848	0,593502	0,644365	0,624433	0,589564	0,601393	0,653841	0,684421	0,719959
0,655516	0,710488	0,441481	0,658222	0,718643	0,463595	0,670141	0,703385	0,658150	0,444932	0,475498	0,638439	0,487338	0,768854	0,678634	0,457816	0,650153	0,637406	0,633976	0,449659	0,696491	0,630431	0,616041	0,461562	0,473403	0,640478
0,627084	0,625742	0,609382	0,690740	0,604743	0,630595	0,682931	0,662881	0,597514	0,612652	0,635878	0,600033	0,645591	0,575725	0,623178	0,619020	0,682377	0,602422	0,569893	0,627506	0,600598	0,561975	0,596833	0,632734	0,641692	0,678045
0,625740	0,630677	0,655869	0,625736	0,710614	0,641072	0,716014	0,663391	0,622944	0,708829	0,650746	0,597174	0,676084	0,598888	0,622273	0,707268	0,624977	0,600052	0,595435	0,632668	0,605161	0,591983	0,624590	0,642342	0,650874	0,600046
0,652666	0,660655	0,731049	0,652269	0,656347	0,710511	0,621796	0,688488	0,760632	0,718574	0,471391	0,631608	0,478405	0,618252	0,652011	0,457765	0,654382	0,634598	0,614707	0,684629	0,643173	0,610769	0,758947	0,457873	0,464887	0,634169
0,628972	0,633242	0,716323	0,625863	0,622485	0,643637	0,635139	0,663197	0,622582	0,633538	0,676405	0,599698	0,458802	0,634315	0,625506	0,685010	0,625104	0,603223	0,720665	0,635901	0,607748	0,598803	0,624228	0,654125	0,449170	0,599928
0,618938	0,707317	0,636487	0,618934	0,630837	0,705222	0,706606	0,663536	0,616525	0,639758	0,702040	0,702129	0,711750	0,588388	0,612261	0,648935	0,615069	0,593094	0,588385	0,622213	0,696094	0,584932	0,615066	0,631982	0,640694	0,593088
0,713794	0,645594	0,645469	0,707959	0,632699	0,656213	0,584707	0,533775	0,584404	0,644185	0,662795	0,624809	0,673160	0,578804	0,709913	0,651972	0,706297	0,701702	0,570376	0,722760	0,628839	0,570366	0,587396	0,716043	0,718605	0,693176
