x	AA	KK	QQ	JJ	TT	AKs	99	AQs	AKo	AJs	KQs	88	ATs	AQo	KJs	KTs	QJs	AJo	KQo	QTs	A9s	77	ATo	JTs	KJo
Q3s	0,841654	0,841580	0,885504	0,690399	0,689565	0,668038	0,682095	0,734874	0,644553	0,639334	0,729173	0,678302	0,640150	0,725734	0,647034	0,647851	0,707239	0,614193	0,719772	0,696417	0,626206	0,668686	0,615083	0,460663	0,622244
J5s	0,829495	0,829421	0,832175	0,874643	0,687216	0,658106	0,678260	0,660947	0,634048	0,724438	0,666899	0,672289	0,635598	0,637201	0,718818	0,643298	0,716847	0,714454	0,643455	0,653693	0,620933	0,666258	0,610380	0,692691	0,708575
K5o	0,879729	0,933090	0,718079	0,717848	0,720877	0,769985	0,711189	0,662124	0,761996	0,662962	0,747497	0,704670	0,667067	0,644453	0,738500	0,730385	0,472738	0,645384	0,735697	0,476786	0,651882	0,703703	0,649833	0,488689	0,726262
Q7o	0,877076	0,879906	0,935045	0,723004	0,724167	0,692424	0,718299	0,766963	0,677317	0,664934	0,764389	0,712488	0,668161	0,758708	0,674846	0,678072	0,745655	0,647500	0,756239	0,733802	0,656288	0,694431	0,651145	0,482644	0,658138
Q2s	0,845711	0,845638	0,889504	0,694032	0,693199	0,671568	0,685729	0,739453	0,648288	0,642864	0,733711	0,678309	0,643680	0,730678	0,650564	0,651381	0,711477	0,617922	0,724674	0,700614	0,629736	0,673885	0,618813	0,461487	0,625973
J4s	0,833552	0,833479	0,836233	0,878643	0,687223	0,661517	0,683459	0,664358	0,637657	0,728902	0,670311	0,674593	0,635956	0,640810	0,723241	0,643657	0,721230	0,719272	0,647064	0,654052	0,625124	0,668041	0,610768	0,693507	0,713351
33	0,817710	0,813669	0,814016	0,814238	0,814207	0,492061	0,813368	0,495272	0,466245	0,498483	0,506028	0,816200	0,501695	0,469754	0,509239	0,512450	0,519239	0,473263	0,481323	0,522450	0,490155	0,813860	0,476772	0,532458	0,484832
65s	0,775012	0,775066	0,775121	0,779108	0,782004	0,610946	0,788591	0,611762	0,584676	0,615632	0,615248	0,800561	0,618698	0,585560	0,619118	0,622184	0,622508	0,589665	0,589321	0,625575	0,611960	0,812867	0,592935	0,641848	0,593426
J7o	0,859543	0,862373	0,865768	0,917718	0,719240	0,679631	0,713457	0,682781	0,663718	0,754001	0,690896	0,707772	0,656157	0,667121	0,751427	0,666069	0,764558	0,744831	0,675896	0,676707	0,644344	0,679635	0,638709	0,732049	0,742362
T7o	0,842010	0,844840	0,848235	0,860260	0,899998	0,666837	0,708646	0,669988	0,650119	0,671579	0,678103	0,703087	0,741048	0,653522	0,679695	0,738474	0,690650	0,655815	0,662297	0,751597	0,632459	0,664644	0,730963	0,746520	0,664590
